Known As,Full Name,Overall,Nationality,Age,Club Name,Wage(in Euro)
'F. Holst','Frederik Holst',66,'Denmark',27.0,'Lillestrøm SK',2000.0
'L. Ojeda','Luis Ojeda',66,'Argentina',32.0,'Club Sol de América',500.0
'S. Andreou','Stelios Andreou',66,'Cyprus',19.0,'Royal Charleroi S.C.',2000.0
'S. Chabbi','Seifedin Chabbi',66,'Tunisia',28.0,'SV Ried',4000.0
'Élder Santana','Élder Santana Conceição',66,'Brazil',29.0,'Gil Vicente FC',4000.0
'D. Schmidt','Doke Schmidt',66,'Netherlands',30.0,'SC Cambuur',3000.0
'A. Nurudeen','Abdul Manaf Nurudeen',66,'Ghana',23.0,'KAS Eupen',2000.0
'F. Petroli','Franco Petroli',66,'Argentina',24.0,'River Plate',3000.0
'A. Bouhaddouz','Aziz Bouhaddouz',66,'Morocco',35.0,'MSV Duisburg',2000.0
'N. Hauptmann','Niklas Hauptmann',66,'Germany',26.0,'SG Dynamo Dresden',3000.0
'D. Sosa','Diego Sosa',66,'Argentina',24.0,'Club Atlético Tigre',3000.0
'A. Amoo','Akinkunmi Amoo',66,'Nigeria',20.0,'F.C. København',5000.0
'I. Harkes','Ian Harkes',66,'United States',27.0,'Dundee United',2000.0
'T. Casali','Tino Casali',66,'Austria',26.0,'SC Rheindorf Altach',3000.0
'F. Al Qarni','Fawaz Al Qarni',66,'Saudi Arabia',30.0,'Al Shabab',7000.0
'Wang Tong','Tong Wang',66,'China PR',29.0,'Shandong Taishan',6000.0
'É. Vandenabeele','Éric Vandenabeele',66,'France',30.0,'Rodez Aveyron Football',2000.0
'E. Arauz','Elder Arauz',66,'Bolivia',32.0,'Club Deportivo Guabirá',500.0
'L. Valenti','Lautaro Valenti',66,'Argentina',23.0,'Parma',1000.0
'L. Moser','Lennart Moser',66,'Germany',22.0,'KAS Eupen',2000.0
'F. Gerli','Fabio Gerli',66,'Italy',25.0,'Modena',1000.0
'A. Gabbarini','Adrián Gabbarini',66,'Argentina',36.0,'LDU Quito',500.0
'J. Cousins','Jordan Cousins',66,'Jamaica',28.0,'Wigan Athletic',4000.0
'G. Schiavone','Giancarlo Schiavone',66,'Venezuela',29.0,'Metropolitanos de Caracas FC',500.0
'O. Quiñonez','Orlin Quiñonez',66,'Ecuador',27.0,'9 de Octubre',500.0
'G. Kyeremeh','Godson Kyeremeh',66,'France',22.0,'Stade Malherbe Caen',2000.0
'S. Lentinelly','Sebastián Lentinelly',66,'Uruguay',24.0,'Liverpool Fútbol Club',500.0
'J. Pantemis','James Pantemis',66,'Canada',25.0,'Club de Foot Montréal',2000.0
'C. Jerome','Cameron Jerome',66,'England',35.0,'Luton Town',8000.0
'Pol Moreno','Pol Moreno Sánchez',66,'Spain',28.0,'Racing Santander',3000.0
'D. Hladun','Dominik Hladun',66,'Poland',26.0,'Legia Warszawa',2000.0
'L. Badiashile','Loïc Badiashile',66,'France',24.0,'Burgos CF',2000.0
'P. Dziczek','Patryk Dziczek',66,'Poland',24.0,'Piast Gliwice',3000.0
'D. Doué','Désiré Doué',66,'France',17.0,'Stade Rennais FC',2000.0
'Isma','Esmaël Ruti Tavares Gonçalves',66,'Guinea Bissau',31.0,'Livingston FC',3000.0
'S. Belkahia','Semi Belkahia',66,'Germany',23.0,'TSV 1860 München',1000.0
'K. Becerra','Kevin Becerra',66,'Ecuador',26.0,'9 de Octubre',500.0
'F. Franco','Fabián Franco',66,'Paraguay',23.0,'Club Cerro Porteño',500.0
'D. Mirani','Damon Mirani',66,'Netherlands',26.0,'FC Volendam',2000.0
'S. Notaroberto','Sandro Notaroberto',66,'Venezuela',24.0,'Caracas Fútbol Club',500.0
'Nguy?n Quang H?i','Quang H?i Nguy?n',66,'Vietnam',25.0,'Pau FC',2000.0
'F. Cobos','Facundo Cobos',66,'Argentina',29.0,'Patronato',5000.0
'N. Alblas','Norbert Alblas',66,'Netherlands',27.0,'Excelsior',2000.0
'C. Forrester','Chris Forrester',66,'Republic of Ireland',29.0,'St. Patrick''s Athletic',1000.0
'S. Cibois','Sébastien Cibois',66,'France',24.0,'Rodez Aveyron Football',1000.0
'L. Onetto','Leandro Onetto',66,'Uruguay',25.0,'Cerro Largo Fútbol Club',500.0
'V. Di Cesare','Valerio Di Cesare',66,'Italy',39.0,'Bari',1000.0
'A. Mosór','Ariel Mosór',66,'Poland',19.0,'Piast Gliwice',2000.0
'J. Guthrie','Jon Guthrie',66,'England',29.0,'Northampton Town',6000.0
'J. Vela','Josh Vela',66,'England',28.0,'Fleetwood Town',4000.0
'C. Ke?erü','Claudiu Ke?erü',66,'Romania',35.0,'AFC UTA Arad',2000.0
'C. Dunkley','Chey Dunkley',66,'England',30.0,'Shrewsbury Town',3000.0
'M. Butean','Mihai Butean',66,'Romania',25.0,'AFC Hermannstadt',2000.0
'F. Brandhof','Frederik Brandhof',66,'Denmark',25.0,'Aarhus GF',5000.0
'Z. Debast','Zeno Debast',66,'Belgium',18.0,'RSC Anderlecht',2000.0
'L. Mosevich','Leonel Mosevich',66,'Argentina',25.0,'Patronato',4000.0
'A. Walkes','Anton Walkes',66,'England',25.0,'Charlotte FC',2000.0
'D. Simani','Denis Simani',66,'Albania',30.0,'FC Luzern',5000.0
'S. Zellner','Steven Zellner',66,'Germany',31.0,'1. FC Saarbrücken',2000.0
'S. McLaughlin','Stephen McLaughlin',66,'Republic of Ireland',32.0,'Mansfield Town',6000.0
'I. Näsberg','Ivan Näsberg',66,'Norway',26.0,'PAOK',500.0
'H. Heggheim','Henrik Heggheim',66,'Norway',21.0,'Brøndby IF',3000.0
'N. Geyrhofer','Niklas Geyrhofer',66,'Austria',22.0,'SK Sturm Graz',5000.0
'B. Nieto','Byron Nieto',66,'Chile',24.0,'CD Antofagasta',2000.0
'R. Wood','Richard Wood',66,'England',36.0,'Rotherham United',4000.0
'I. Arce','Ignacio Arce',66,'Argentina',30.0,'Unión La Calera',1000.0
'N. Holm','Noah Jean Holm',66,'Norway',21.0,'Stade de Reims',2000.0
'D. Kameri','Dijon Kameri',66,'Austria',18.0,'FC Red Bull Salzburg',3000.0
'A. Vita','Alessio Vita',66,'Italy',29.0,'Cittadella',1000.0
'D. Mitov','Dimitar Mitov',65,'Bulgaria',25.0,'Cambridge United',2000.0
'R. Lutiger','Rafael Lutiger',65,'Peru',20.0,'Club Sporting Cristal',500.0
'D. Fällman','David Fällman',65,'Sweden',32.0,'Aalesunds FK',1000.0
'N. Atubolu','Noah Atubolu',65,'Germany',20.0,'Sport-Club Freiburg',3000.0
'A. Famewo','Akin Famewo',65,'England',23.0,'Sheffield Wednesday',3000.0
'S. Sambo','Shurandy Sambo',65,'Netherlands',20.0,'Sparta Rotterdam',3000.0
'N. Ngcobo','Njabulo Ngcobo',65,'South Africa',28.0,'Kaizer Chiefs',500.0
'J. Moore-Taylor','Jordan Moore-Taylor',65,'England',28.0,'Forest Green Rovers',3000.0
'L. Jones','Lloyd Jones',65,'England',26.0,'Cambridge United',2000.0
'D. Szymonowicz','Dawid Szymonowicz',65,'Poland',26.0,'Warta Poznan',1000.0
'D. Anyembe','Daniel Anyembe',65,'Denmark',23.0,'Viborg FF',2000.0
'R. Broom','Ryan Broom',65,'Wales',25.0,'Cheltenham Town',2000.0
'A. Meroni','Andrea Meroni',65,'Italy',25.0,'Cosenza',850.0
'M. Kaufmann','Mikkel Kaufmann',65,'Denmark',21.0,'Karlsruher SC',5000.0
'G. Johnston','George Johnston',65,'Scotland',23.0,'Bolton Wanderers',3000.0
'A. Adams','Akor Jerome Adams',65,'Nigeria',22.0,'Lillestrøm SK',2000.0
'R. Kharchouch','Reda Kharchouch',65,'Netherlands',26.0,'Excelsior',2000.0
'I. Koné','Ismaël Koné',65,'Canada',20.0,'Club de Foot Montréal',2000.0
'A. Mannus','Alan Mannus',65,'Northern Ireland',40.0,'Shamrock Rovers',500.0
'Robson Reis','Robson Alves Reis',65,'Brazil',22.0,'Boavista FC',3000.0
'L. Reed','Louis Reed',65,'England',24.0,'Swindon Town',4000.0
'Fresneda','Iván Fresneda Corraliza',65,'Spain',17.0,'Real Valladolid CF',500.0
'J. García','Joaquín García',65,'Argentina',20.0,'Vélez Sarsfield',3000.0
'A. Balanta','Andrés Balanta',65,'Colombia',22.0,'Atlético Tucumán',3000.0
'Wu Yake','Yake Wu',65,'China PR',31.0,'Changchun Yatai FC',2000.0
'L. Donnelly','Liam Donnelly',65,'Northern Ireland',26.0,'Kilmarnock',2000.0
'J. Manev','Jovan Manev',65,'North Macedonia',21.0,'Adana Demirspor',4000.0
'Luís Machado','Luís Miguel Vieira Babo Machado',65,'Portugal',29.0,'Radomiak Radom',2000.0
'Andrés Caro','Andrés Carlos Caro Serrano',65,'Spain',18.0,'Málaga CF',700.0
'A. Iacovitti','Alex Iacovitti',65,'Scotland',24.0,'Ross County FC',2000.0
'J. Pourtau','Jerónimo Pourtau',65,'Argentina',22.0,'Estudiantes de La Plata',2000.0
'R. Celia','Raffaele Celia',65,'Italy',23.0,'SPAL',950.0
'A. Tveter','Alexander Ruud Tveter',65,'Norway',31.0,'Sandefjord Fotball',1000.0
'T. Lutonda','Thierry Lutonda',65,'Belgium',21.0,'RKC Waalwijk',2000.0
'Oier Luengo','Oier Luengo Redondo',65,'Spain',24.0,'Real Oviedo',2000.0
'F. Mansilla','Facundo Mansilla',65,'Argentina',23.0,'Newell''s Old Boys',3000.0
'E. Hyndman','Emerson Hyndman',65,'United States',26.0,'Atlanta United',2000.0
'C. Borchgrevink','Christian Dahle Borchgrevink',65,'Norway',23.0,'Vålerenga Fotball',1000.0
'O. Hawsawi','Omar Hawsawi',65,'Saudi Arabia',36.0,'Al Ittihad',6000.0
'Léo Borges','Leonardo Borges da Silva',65,'Brazil',21.0,'Pogon Szczecin',2000.0
'A. Christodoulou','Andreas Christodoulou',65,'Cyprus',25.0,'APOEL Nicosia FC',500.0
'B. Poulain','Benoît Poulain',65,'France',34.0,'Nîmes Olympique',2000.0
'R. Montero','Ronny Montero',65,'Bolivia',31.0,'Club Deportivo Jorge Wilstermann',500.0
'R. Dadashov','Renat Dadashov',65,'Azerbaijan',23.0,'Grasshopper Club Zürich',4000.0
'F. Duclós','Francisco Duclós',65,'Peru',26.0,'Ayacucho',500.0
'Y. Clementia','Yannis Clementia',65,'France',24.0,'Stade Malherbe Caen',1000.0
'Bernard Alemão','Paulo Bernard Schmidt',65,'Brazil',30.0,'Fortaleza',3000.0
'M. Hallberg','Melker Hallberg',65,'Sweden',26.0,'St. Johnstone FC',2000.0
'Dani Morer','Daniel Morer Cabrera',65,'Spain',24.0,'FC Andorra',2000.0
'I. Vîna','Ionu? Vîna',65,'Romania',27.0,'Universitatea Craiova',4000.0
'F. Kaplan','Ferhat Kaplan',65,'Turkey',33.0,'GZT Giresunspor',3000.0
'Y. Hassan','Yousef Hassan',65,'Qatar',26.0,'Free agent',0.0
'R. Williams','Rhys Williams',65,'England',21.0,'Blackpool',13000.0
'Y. Kitala','Yann Kitala',65,'France',24.0,'Le Havre AC',2000.0
'Zhu Chenjie','Chenjie Zhu',65,'China PR',21.0,'Shanghai Shenhua FC',2000.0
'R. Matthews','Remi Matthews',65,'England',28.0,'St. Johnstone FC',10000.0
'He Guan','Guan He',65,'China PR',29.0,'Changchun Yatai FC',5000.0
'M. Rittmüller','Marvin Rittmüller',65,'Germany',23.0,'1. FC Heidenheim 1846',5000.0
'J. Pulskamp','John Pulskamp',65,'United States',21.0,'Sporting Kansas City',1000.0
'A. ?eroni','Alin ?eroni',65,'Romania',35.0,'FC Botosani',2000.0
'T. Hájek','Tomá Hájek',65,'Czech Republic',30.0,'Vitesse',4000.0
'D. Torres','Darwin Torres',65,'Uruguay',31.0,'9 de Octubre',500.0
'A. Osorio','Abiel Osorio',65,'Argentina',20.0,'Vélez Sarsfield',3000.0
'S. McMann','Scott McMann',65,'Scotland',25.0,'Dundee United',2000.0
'Adriel','Adriel da Silva',65,'Brazil',25.0,'Austria Lustenau',2000.0
'J. Key','Josh Key',65,'England',22.0,'Exeter City',2000.0
'T. Glumac','Tomislav Glumac',65,'Croatia',31.0,'Ümraniyespor',4000.0
'A. Balan','Adrian Balan',65,'Romania',32.0,'Universitatea Cluj',2000.0
'Clayton','Clayton Fernandes Silva',65,'Brazil',23.0,'Casa Pia',2000.0
'F. Stritzel','Florian Stritzel',65,'Germany',28.0,'SV Wehen Wiesbaden',2000.0
'T. Vandenberghe','Tom Vandenberghe',65,'Belgium',29.0,'KV Kortrijk',3000.0
'J. Placide','Johny Placide',65,'Haiti',34.0,'SC Bastia',1000.0
'S. Richey','Spencer Richey',65,'United States',30.0,'Chicago Fire Football Club',2000.0
'M. Millar','Matt Millar',65,'Australia',25.0,'Macarthur FC',1000.0
'E. Lee','Elliot Lee',65,'England',27.0,'Wrexham AFC',500.0
'J. Brown','Jevani Brown',65,'Jamaica',27.0,'Exeter City',3000.0
'J. Cruz','Joan Cruz',65,'Chile',19.0,'Colo-Colo',1000.0
'C. Flores','Cristian Flores',65,'Venezuela',31.0,'Deportivo La Guaira FC',500.0
'K. Van Langendonck','Koen Van Langendonck',65,'Belgium',33.0,'KVC Westerlo',2000.0
'A. Ordóñez','Andersson Ordóñez',65,'Ecuador',28.0,'C.D. Universidad Católica del Ecuador',500.0
'P. Hoban','Patrick Hoban',65,'Republic of Ireland',30.0,'Dundalk FC',1000.0
'T. Mikkelsen','Thomas Mikkelsen',65,'Denmark',38.0,'Brøndby IF',2000.0
'P. Gladon','Paul Gladon',65,'Netherlands',30.0,'Fortuna Sittard',5000.0
'D. Guindo','Daouda Guindo',65,'Mali',19.0,'FC St. Gallen 1879',3000.0
'R. Celentano','Roman Celentano',65,'United States',21.0,'FC Cincinnati',1000.0
'C. McCarthy','Conor McCarthy',65,'Republic of Ireland',24.0,'Barnsley',3000.0
'Leandro Sanca','Leandro Sanca',65,'Portugal',22.0,'Spezia',5000.0
'R. Ríos','Rubén Darío Ríos',65,'Argentina',26.0,'Club Nacional',500.0
'Alex Gorrín','Alejandro Rodríguez Gorrín',65,'Spain',28.0,'Oxford United',3000.0
'M. Ballmert','Markus Ballmert',65,'Germany',28.0,'SV Meppen',900.0
'A. Melgalvis','Aleksander Melgalvis',65,'Norway',32.0,'Hamarkameratene',1000.0
'Pedro Ganchas','Pedro Luís Machado Ganchas',65,'Portugal',22.0,'FC Paços de Ferreira',2000.0
'C. Ortíz','Carlos Ortíz',65,'Ecuador',29.0,'Delfín Sporting Club',500.0
'M. Lazetic','Marko Lazetic',65,'Serbia',18.0,'AC Milan',6000.0
'C. Duarte','Carlos Duarte',65,'Paraguay',39.0,'Guaireña FC',500.0
'Á. Henríquez','Ángelo Henríquez',65,'Chile',28.0,'Miedz Legnica',2000.0
'J. Norwood','James Norwood',65,'England',31.0,'Barnsley',4000.0
'M. Cichocki','Mateusz Cichocki',65,'Poland',30.0,'Radomiak Radom',2000.0
'F. Cassata','Francesco Cassata',65,'Italy',24.0,'Ternana',1000.0
'V. Bazán','Víctor Bazán',65,'Peru',24.0,'Sport Boys',500.0
'A. Roguljic','Ante Roguljic',65,'Croatia',26.0,'Universitatea Craiova',4000.0
'D. Campos','Diego Campos',65,'Costa Rica',26.0,'Degerfors IF',1000.0
'M. Pollock','Mattie Pollock',65,'England',20.0,'Watford',7000.0
'João Veras','João Henrique Oliveira Veras',65,'Brazil',21.0,'Portimonense SC',2000.0
'L. Hroo','Luká Hroo',65,'Slovakia',35.0,'Cracovia',1000.0
'D. Scarlett','Dane Scarlett',65,'England',18.0,'Portsmouth',8000.0
'J. Steele','Jason Steele',65,'England',31.0,'Brighton & Hove Albion',11000.0
'G. Ricci','Giacomo Ricci',65,'Italy',25.0,'Bari',1000.0
'F. Lakenmacher','Fynn Lakenmacher',65,'Germany',22.0,'TSV 1860 München',1000.0
'J. Osorio','Johan Osorio',65,'Venezuela',31.0,'Hermanos Colmenarez',500.0
'A. McEneff','Aaron McEneff',65,'Republic of Ireland',26.0,'Perth Glory',2000.0
'J. Gauci','Joe Gauci',65,'Australia',21.0,'Adelaide United',850.0
'Alex Craninx','Alexandro Marco Craninx Joostens',65,'Belgium',26.0,'Molde FK',1000.0
'A. Þrándarson','Aron Elís Þrándarson',65,'Iceland',27.0,'Odense Boldklub',4000.0
'J. Chougrani','Joris Chougrani',65,'France',31.0,'Rodez Aveyron Football',1000.0
'Pep Gayà','Josep Gayà Martínez',65,'Spain',22.0,'RCD Mallorca',5000.0
'Lim Jong Eun','Jong Eun Lim',65,'Korea Republic',32.0,'Ulsan Hyundai FC',3000.0
'I. Stoica','Ionu? Stoica',65,'Romania',34.0,'AFC Hermannstadt',2000.0
'Maurides','Maurides Roque Junior',65,'Brazil',28.0,'Radomiak Radom',2000.0
'D. Hoyos','Diego Hoyos',65,'Bolivia',29.0,'Club Deportivo Guabirá',500.0
'F. Tait','Fabian Tait',65,'Italy',29.0,'Südtirol',1000.0
'F. Al Birekan','Firas Al Birekan',65,'Saudi Arabia',22.0,'Al Fateh',7000.0
'P. Lima','Paulo Lima',65,'Uruguay',30.0,'Club Atlético Central Córdoba',3000.0
'M. Guevgeozián','Mauro Guevgeozián',65,'Armenia',36.0,'Sport Boys',500.0
'C. Greger','Christoph Greger',65,'Germany',25.0,'Viktoria Köln',2000.0
'D. Arzani','Daniel Arzani',65,'Australia',23.0,'Macarthur FC',1000.0
'Israel Puerto','Israel Puerto Pineda',65,'Spain',29.0,'Jagiellonia Bialystok',3000.0
'A. Pomini','Alberto Pomini',65,'Italy',41.0,'SPAL',500.0
'B. Diaby','Bambo Diaby',65,'Senegal',24.0,'Preston North End',7000.0
'E. Doyle','Eoin Doyle',65,'Republic of Ireland',34.0,'St. Patrick''s Athletic',1000.0
'A. Nemec','Adam Nemec',65,'Slovakia',36.0,'FC Voluntari',3000.0
'S. Bruzzese','Sébastien Bruzzese',65,'Belgium',33.0,'KSV Cercle Brugge',3000.0
'C. Hazard','Conor Hazard',65,'Northern Ireland',24.0,'HJK Helsinki',500.0
'S. Tanser','Scott Tanser',65,'England',27.0,'St. Mirren',2000.0
'N. Valentini','Nicolás Valentini',65,'Argentina',21.0,'Club Atlético Aldosivi',3000.0
'D. Telford','Dom Telford',65,'England',25.0,'Crawley Town',5000.0
'S. Mihajlovic','Stefan Mihajlovic',65,'Serbia',28.0,'Shijiazhuang Ever Bright F.C.',3000.0
'Villahermosa','Daniel Villahermosa',65,'Spain',21.0,'RCD Espanyol de Barcelona',4000.0
'C. Booth','Callum Booth',65,'Scotland',31.0,'St. Johnstone FC',2000.0
'Geny Catamo','Geny Cipriano Catamo',65,'Mozambique',21.0,'Clube Sport Marítimo',3000.0
'C. Shaughnessy','Conor Shaughnessy',65,'Republic of Ireland',26.0,'Burton Albion',2000.0
'H. Espínola','Héctor Espínola',65,'Paraguay',30.0,'Guaireña FC',500.0
'T. Beason','Tanner Beason',65,'United States',25.0,'San Jose Earthquakes',2000.0
'M. Vukcevic','Marko Vukcevic',65,'Montenegro',29.0,'AFC UTA Arad',2000.0
'B. Öksüz','Burak Öksüz',65,'Turkey',26.0,'Atakas Hatayspor',4000.0
'P. Matricardi','Patricio Matricardi',65,'Argentina',28.0,'FC Voluntari',4000.0
'J. McCart','Jamie McCart',65,'Scotland',25.0,'Rotherham United',4000.0
'L. Bergsma','Leon Bergsma',65,'Netherlands',25.0,'SC Cambuur',2000.0
'K. Klaesson','Kristoffer Klaesson',65,'Norway',21.0,'Leeds United',5000.0
'L. Bell Bell','Leon Bell Bell',65,'Cameroon',25.0,'1. FC Magdeburg',3000.0
'F. Zuculini','Franco Zuculini',65,'Argentina',31.0,'SPAL',1000.0
'J. Beesley','Jake Beesley',65,'England',25.0,'Blackpool',4000.0
'D. Poha','Denis Will Poha',65,'France',25.0,'FC Sion',6000.0
'N. Mijukovic','Nemanja Mijukovic',65,'Montenegro',30.0,'Miedz Legnica',1000.0
'Samuel Soares','Samuel Jumpe Soares',65,'Portugal',20.0,'SL Benfica',2000.0
'D. Guidi','Dominique Guidi',65,'France',26.0,'SC Bastia',2000.0
'J. Becerra','Juan Camilo Becerra',65,'Colombia',24.0,'RCD Espanyol de Barcelona',5000.0
'J. Emmanuel-Thomas','Jay Emmanuel-Thomas',65,'England',31.0,'Jamshedpur FC',650.0
'M. Barsham','Meshaal Barsham',65,'Qatar',24.0,'Free agent',0.0
'C. MacGillivray','Craig MacGillivray',65,'Scotland',29.0,'Charlton Athletic',3000.0
'O. Zandén','Oliver Zandén',65,'Sweden',20.0,'Toulouse Football Club',3000.0
'Ricardo Friedrich','Ricardo Schuck Friedrich',65,'Brazil',29.0,'Kalmar FF',1000.0
'J. Medina','Jonathan Medina',65,'Peru',29.0,'Club Alianza Lima',500.0
'M. Ramos','Michell Ramos',65,'Colombia',24.0,'Deportivo Cali',1000.0
'M. Raickovic','Milos Raickovic',65,'Montenegro',28.0,'Seongnam FC',2000.0
'Ricardo Silva','Ricardo Manuel Vieira da Silva',65,'Portugal',23.0,'Santa Clara',1000.0
'Þ. Helgason','Þórir Jóhann Helgason',65,'Iceland',21.0,'Lecce',3000.0
'A. Iannarilli','Antony Iannarilli',65,'Italy',31.0,'Ternana',1000.0
'S. Bu?','Sergiu Bu?',65,'Romania',29.0,'CFR Cluj',5000.0
'L. Jephcott','Luke Jephcott',65,'Wales',22.0,'Swindon Town',4000.0
'Y. Díaz','Yesid Díaz',65,'Colombia',24.0,'Independiente Medellín',750.0
'E. Cashin','Eiran Cashin',65,'Republic of Ireland',20.0,'Derby County',1000.0
'R. Muric','Robert Muric',65,'Croatia',26.0,'Ittifak Holding Konyaspor',5000.0
'J. Ramos','Jiovany Ramos',65,'Panama',25.0,'Deportivo La Guaira FC',500.0
'J. Payne','Jack Payne',65,'England',27.0,'Charlton Athletic',3000.0
'E. Cornelisse','Enzo Cornelisse',65,'Netherlands',20.0,'Vitesse',3000.0
'N. Cova','Néstor Cova',65,'Venezuela',27.0,'Metropolitanos de Caracas FC',500.0
'L. Roberts','Liam Roberts',65,'England',27.0,'Middlesbrough',6000.0
'R. Onea','Razvan Onea',65,'Romania',24.0,'Rapid Bucure?ti',2000.0
'J. Pignani','Juan Pablo Pignani',65,'Argentina',20.0,'Platense',2000.0
'A. Al-Dakhil','Ameen Al-Dakhil',65,'Belgium',20.0,'Sint-Truidense VV',3000.0
'D. Jablonský','David Jablonský',65,'Czech Republic',30.0,'Cracovia',3000.0
'T. Aldred','Tom Aldred',65,'Scotland',31.0,'Brisbane Roar',2000.0
'A. Yigiter','Abdullah Yigiter',65,'Turkey',22.0,'Atakas Hatayspor',2000.0
'Miguel Sousa','Miguel Ferreira de Sousa',65,'Portugal',23.0,'Clube Sport Marítimo',2000.0
'B. Spiaczka','Bartosz Spiaczka',65,'Poland',30.0,'Korona Kielce',2000.0
'Kim Min Hyeok','Min Hyeok Kim',65,'Korea Republic',30.0,'Seongnam FC',1000.0
'Álvaro Sanz','Álvaro Sanz Catalán',65,'Spain',21.0,'FC Barcelona',17000.0
'T. Rojas','Tito Rojas',65,'Venezuela',34.0,'Metropolitanos de Caracas FC',500.0
'T. Sanuç','Tayyip Sanuç',65,'Turkey',22.0,'Besiktas JK',9000.0
'B. Yardimci','Baris Yardimci',65,'Turkey',29.0,'Ittifak Holding Konyaspor',5000.0
'D. Jebbison','Daniel Jebbison',65,'England',18.0,'Sheffield United',3000.0
'Á. Campuzano','Álvaro Campuzano',65,'Paraguay',27.0,'Club Libertad',500.0
'Bobadilla','Pablo Bobadilla Sáenz',65,'Spain',26.0,'Racing Santander',2000.0
'D. Sikan','Danylo Sikan',65,'Ukraine',21.0,'Shakhtar Donetsk',500.0
'D. Mandroiu','Danny Mandroiu',65,'Republic of Ireland',23.0,'Lincoln City',3000.0
'T. Capu?a','Tiberiu Capu?a',65,'Romania',24.0,'AFC Chindia Târgovi?te',1000.0
'J. Nation','Jonatan Tollås Nation',65,'Norway',32.0,'Vålerenga Fotball',1000.0
'D. Ajiboye','David Ajiboye',65,'England',23.0,'Peterborough United',3000.0
'Guille Rosas','Guillermo Rosas Alonso',65,'Spain',22.0,'Real Sporting de Gijón',2000.0
'M. Watkins','Marley Watkins',65,'Wales',31.0,'Aberdeen',3000.0
'O. Bundgaard','Oliver Bundgaard',65,'Denmark',21.0,'Viborg FF',2000.0
'S. Finley','Sam Finley',65,'England',29.0,'Bristol Rovers',3000.0
'L. Passerini','Lucas Passerini',65,'Argentina',27.0,'Unión La Calera',1000.0
'M. Vera','Matías Vera',65,'Argentina',23.0,'Club Atlético Lanús',4000.0
'S. Brunelli','Santiago Brunelli',65,'Uruguay',24.0,'Club Atlético River Plate',500.0
'A. Ariano','Azmahar Ariano',65,'Panama',31.0,'Deportivo Táchira FC',500.0
'L. Maniero','Luca Maniero',65,'Italy',27.0,'Cittadella',700.0
'S. Opsahl','Sakarias Opsahl',65,'Norway',22.0,'Tromsø IL',1000.0
'F. Winther','Frederik Winther',65,'Denmark',21.0,'FC Augsburg',5000.0
'A. Sánchez','Alejandro Sánchez',65,'Argentina',35.0,'Platense',2000.0
'V. Boone','Viktor Boone',65,'Belgium',24.0,'Royale Union Saint-Gilloise',3000.0
'A. Keita','Aboubacar Keita',65,'United States',22.0,'Colorado Rapids',2000.0
'L. Sercombe','Liam Sercombe',65,'England',32.0,'Cheltenham Town',2000.0
'A. Németh','András Németh',65,'Hungary',19.0,'KRC Genk',3000.0
'Diego Conde','Diego José Conde Alcolado',65,'Spain',23.0,'Getafe CF',4000.0
'E. Brophy','Eamonn Brophy',65,'Scotland',26.0,'St. Mirren',2000.0
'C. Trueman','Connal Trueman',65,'England',26.0,'Millwall',3000.0
'C. Diedhiou','Christophe Diedhiou',65,'Senegal',34.0,'US Quevilly Rouen Métropole',2000.0
'M. Doleal','Martin Doleal',65,'Czech Republic',32.0,'Zaglebie Lubin',3000.0
'J. Lacerda','Jonathan Lacerda',65,'Uruguay',35.0,'Montevideo Wanderers',500.0
'N. Vergos','Nikos Vergos',65,'Greece',26.0,'RZ Pellets Wolfsberger AC',5000.0
'Bruno Leite','Bruno Miguel Santos Leite',65,'Cape Verde Islands',27.0,'FK Haugesund',1000.0
'D. Osio','Diego Osio',65,'Venezuela',25.0,'Caracas Fútbol Club',500.0
'R. Simisterra','Renny Simisterra',65,'Ecuador',24.0,'Deportivo Táchira FC',500.0
'J. Zwischenbrugger','Jan Zwischenbrugger',65,'Austria',32.0,'SC Rheindorf Altach',3000.0
'T. Silvestri','Tommaso Silvestri',65,'Italy',30.0,'Modena',1000.0
'J. Efford','Joseph Efford',65,'United States',25.0,'Motherwell',2000.0
'M. Morello','Matías Morello',65,'Argentina',21.0,'Club Atlético Aldosivi',2000.0
'M. Pinto','Miguel Pinto',65,'Chile',38.0,'Unión Española',800.0
'U. Jenssen','Ulrik Yttergård Jenssen',65,'Norway',25.0,'FC Nordsjælland',3000.0
'K. Schumacher','Kevin Schumacher',65,'Germany',24.0,'F.C. Hansa Rostock',3000.0
'M. Roman','Mihai Roman',65,'Romania',30.0,'FC Botosani',4000.0
'L. Fiorini','Lewis Fiorini',65,'Scotland',20.0,'Blackpool',17000.0
'P. Iliev','Plamen Iliev',65,'Bulgaria',30.0,'Universitatea Cluj',1000.0
'P. Sisniega','Pablo Sisniega',65,'Mexico',26.0,'Charlotte FC',2000.0
'J. Belshaw','James Belshaw',65,'England',31.0,'Bristol Rovers',2000.0
'S. Al Muwallad','Saeed Al Muwallad',65,'Saudi Arabia',31.0,'Ettifaq FC',7000.0
'S. Coulibaly','Séga Coulibaly',65,'France',26.0,'LA Galaxy',2000.0
'. Zaletel','an Zaletel',65,'Slovenia',22.0,'Viborg FF',2000.0
'N. Pijnaker','Nando Pijnaker',65,'New Zealand',23.0,'Sligo Rovers',2000.0
